#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)"
0.020000000000000004,-221.74933902585866,0.9192770101907207
0.04000000000000002,-221.33822926636506,2.0099024220818165
0.06000000000000004,-221.19339201146497,3.868150176933143
0.08000000000000006,-218.4823881449528,3.5085146071421254
0.10000000000000007,-219.4815443779144,4.712539885433933
0.12000000000000009,-218.2603420600006,5.0313312697385655
0.1400000000000001,-217.58017558044907,6.7278194300149545
0.16000000000000011,-215.36486784725943,8.40814629684622
0.18000000000000013,-216.66851176510187,11.068366169035475
0.20000000000000015,-216.07631981675377,15.713560694579852
0.22000000000000017,-214.42567668981877,16.334550280423034
0.24000000000000019,-210.47693896157847,11.466823535235934
0.2600000000000002,-215.21146905780117,17.223952365949305
0.2800000000000002,-213.09101159339406,15.608103739734206
0.3000000000000002,-212.10058474910795,15.912386677205843
0.32000000000000023,-214.93693340876214,19.031370403202615
0.34000000000000025,-217.28453278747557,22.424680938311607
0.36000000000000026,-212.9065452252827,19.691284232237308
0.3800000000000003,-206.19521286728164,17.966968541569667
0.4000000000000003,-209.11444400324825,20.483342195830897
0.4200000000000003,-210.93663356445165,21.38833228967347
0.44000000000000034,-206.3204736700663,21.03919691885564
0.46000000000000035,-202.21476332089895,19.276458768929906
0.48000000000000037,-199.1650694210035,19.18244180669186
0.5000000000000003,-199.95558005537487,18.572424333725433
0.5200000000000004,-204.48847571935056,23.388528219543087
0.5400000000000004,-201.7757735180123,24.108326297686396
0.5600000000000004,-201.81875401890392,22.1016342925625
0.5800000000000004,-202.10442445010403,25.32839800365611
0.6000000000000004,-195.21516184206854,23.004949744002104
0.6200000000000004,-190.32680206544754,22.749277362758647
0.6400000000000005,-195.8986762114319,30.17877796092485
0.6600000000000005,-196.2447394286113,25.343635994487318
0.6800000000000005,-197.5635991467964,26.42208872637107
0.7000000000000005,-199.1444530206389,26.858451249855644
0.7200000000000005,-209.4986074644695,38.70231378543701
0.7400000000000005,-202.9011557854397,34.841650544801816
0.7600000000000006,-199.3558641131062,33.40487134895995
0.7800000000000006,-197.27978616348423,32.07872640683231
0.8000000000000006,-199.66101877222104,32.24861218789332
0.8200000000000006,-199.80796539008713,33.55812536343752
0.8400000000000006,-205.6150493355207,38.2379384457322
0.8600000000000007,-198.10283100404365,28.154650373276365
0.8800000000000007,-204.62931571963023,37.23535352225494
0.9000000000000007,-201.4272115581451,35.09437594765425
0.9200000000000007,-197.2078911566134,33.748220269779004
0.9400000000000007,-202.44312499830735,39.700011109749525
0.9600000000000007,-198.9446314644335,40.435219308440495
0.9800000000000008,-195.3643344774195,40.6653121635586
1.0000000000000007,-184.0208344783265,31.817993202587218
1.0200000000000007,-199.61538820662076,40.282063183184604
1.0400000000000007,-191.8872992732641,30.397064557351552
1.0600000000000007,-192.58050048185083,32.15047809871442
1.0800000000000007,-189.74200651694096,26.11909836251162
1.1000000000000008,-193.692541080821,36.54033009657375
1.1200000000000008,-191.6215145714904,33.559561386225774
1.1400000000000008,-190.45721134967624,30.540449230050797
1.1600000000000008,-186.8350006732033,26.924403638234317
1.1800000000000008,-191.31191221166097,32.54265324165841
1.2000000000000008,-184.8735386437505,29.13908119365658
1.2200000000000009,-185.12884664479895,29.11490004367552
1.2400000000000009,-189.7507232599875,34.236853020793134
1.260000000000001,-194.145453471029,36.8505994746176
1.280000000000001,-192.70988603650156,35.83940594657867
1.300000000000001,-190.92495744043492,34.03116959498946
1.320000000000001,-195.6356074412553,41.12236054447958
1.340000000000001,-181.77574626655408,29.883406646984465
1.360000000000001,-187.22463728014876,35.67347848416551
1.380000000000001,-188.52329814208497,34.06605337685842
1.400000000000001,-186.36656280205028,31.777449432005756
1.420000000000001,-187.62483318078978,36.95800091466353
