name, b3lyp-t1-min-confs, b3lyp-t2-min-confs, min-G-t1, min-G-t2, confs-bw-G-t1, confs-bw-G-t1, confs-bw-rot-G-t1, confs-bw-rot-G-t1, exp-dG, min-dG, confs-bw-dG, confs-bw-rot-dG 
SAMPLmol2, SAMPLmol2, 2, 1, -299002.9, -299005.4, -299002.9, -299005.4, -299002.9, -299006.3, -6.1, -2.5, -2.5, -3.3 
-2.9 
SAMPLmol4, 2, 1, -299000.3, -298997.7, -299000.3, -298997.7, -299000.3, -298998.5, -2.3, 2.6, 2.6, 1.8 
2.5 
molDWRow_1000, 2, 1, -212811.0, -212807.7, -212811.0, -212807.7, -212811.0, -212808.1, -2.6, 3.3, 3.3, 2.9 
3.7 
molDWRow_1001, 2, 1, -309070.3, -309071.4, -309070.3, -309071.4, -309070.3, -309071.4, -3.7, -1.1, -1.1, -1.1 
-1.8 
molDWRow_1002, 2, 1, -472824.7, -472822.7, -472824.7, -472822.7, -472826.8, -472824.8, 1.0, 2.0, 2.0, 2.0 
2.5 
molDWRow_1003, 2, 1, -212793.7, -212798.9, -212793.7, -212798.9, -212793.7, -212799.3, -7.0, -5.2, -5.2, -5.6 
-5.4 
molDWRow_1005, 2, 1, -309052.9, -309062.4, -309052.9, -309062.4, -309052.9, -309062.4, -9.3, -9.5, -9.5, -9.5 
-10.2 
molDWRow_1006, 2, 1, -309048.5, -309052.6, -309048.5, -309052.6, -309048.5, -309052.6, -4.2, -4.0, -4.0, -4.0 
-4.4 
molDWRow_1010, 2, 1, -423589.3, -423585.7, -423589.3, -423585.7, -423589.3, -423585.7, 1.0, 3.7, 3.7, 3.7 
4.0 
molDWRow_1034, 2, 1, -260000.0, -260011.2, -260000.0, -260011.2, -260000.0, -260012.6, -6.3, -11.1, -11.1, -12.6 
-11.1 
molDWRow_1035, 2, 1, -260001.7, -260011.2, -260001.7, -260011.2, -260001.7, -260012.6, -7.9, -9.5, -9.5, -11.0 
-10.3 
molDWRow_1036, 2, 1, -356263.9, -356274.2, -356263.9, -356274.2, -356263.9, -356275.0, -9.3, -10.2, -10.2, -11.1 
-11.1 
molDWRow_104, 1, 2, -121042.1, -121031.1, -121042.1, -121031.1, -121044.6, -121032.6, 11.8, 11.0, 10.9, 12.0 
12.3 
molDWRow_105, 5, 7, -170287.7, -170273.9, -170287.8, -170274.4, -170291.4, -170277.4, 11.7, 13.8, 13.4, 14.0 
13.8 
molDWRow_1056, 1, 1, -213552.6, -213549.5, -213552.6, -213549.5, -213554.0, -213550.6, -0.0, 3.0, 3.0, 3.5 
2.2 
molDWRow_1057, 1, 2, -213552.6, -213545.5, -213552.6, -213545.9, -213554.0, -213547.4, -2.9, 7.1, 6.7, 6.7 
5.7 
molDWRow_1058, 1, 2, -213549.5, -213545.5, -213549.5, -213545.9, -213550.6, -213547.4, -2.9, 4.0, 3.6, 3.2 
3.7 
molDWRow_1059, 2, 2, -213552.5, -213545.5, -213552.5, -213545.9, -213553.5, -213547.4, -1.2, 7.0, 6.6, 6.2 
6.6 
molDWRow_106, 2, 3, -194907.8, -194897.3, -194908.2, -194897.5, -194913.5, -194902.1, 12.0, 10.5, 10.7, 11.4 
13.5 
molDWRow_1060, 1, 2, -213549.5, -213552.5, -213549.5, -213552.5, -213550.6, -213553.6, -1.6, -3.0, -3.0, -3.0 
-3.2 
molDWRow_1064, 5, 2, -238172.7, -238166.3, -238172.7, -238166.7, -238174.9, -238169.3, -2.3, 6.4, 6.0, 5.6 
2.7 
molDWRow_107, 5, 4, -194160.1, -194150.0, -194160.1, -194150.5, -194162.6, -194152.2, 9.1, 10.1, 9.6, 10.4 
10.0 
